"","pais","Freq","lon","lat"
"1","alemania",1,10.451526,51.165691
"2","australia",7,133.775136,-25.274398
"3","austria",2,14.550072,47.516231
"4","canada",3,-106.346771,56.130366
"5","colombia",1,-74.297333,4.570868
"6","españa",401,-3.74922,40.463667
"7","estados unidos",25,-95.712891,37.09024
"8","finlandia",1,25.748151,61.92411
"9","francia",16,2.213749,46.227638
"10","holanda",4,5.291266,52.132633
"11","inglaterra",4,-1.1743197,52.3555177
"12","japón",5,138.252924,36.204824
"13","méxico",3,-102.552784,23.634501
"14","polonia",1,19.145136,51.919438
"15","portugal",3,-8.22491,39.3998347
"16","reino unido",5,-3.435973,55.378051
"17","rusia",5,105.318756,61.52401
"18","suecia",1,18.643501,60.128161
"19","suiza",1,8.227512,46.818188
"20","ucrania     ",2,31.16558,48.379433
"21","venezuela",2,-66.58973,6.42375
"22","Aragón",3,-0.9056623,41.5976275
"23","Asturias",2,-5.8593267,43.3613953
"24","C. Valenciana",9,-0.7532809,39.4840108
"25","Cantabria",4,-3.9878427,43.1828396
"26","Castilla y León",3,-4.3976357,41.8356821
"27","Cataluña",3,1.5208624,41.5911589
"28","Madrid",44,-3.7037902,40.4167754
"29","Navarra",275,-1.6760691,42.6953909
"30","País Vasco",53,-2.6189273,42.9896248
